v,I,w
0.050583,0.007243,0
0.100428,0.014192,0
0.15018,0.020943,0
0.199062,0.026752,0
0.25088,0.031067,0
0.300623,0.036937,0
0.350019,0.041485,0
0.400019,0.057084,0
0.449994,0.066656,0
0.500788,0.079179,0
0.550238,0.092259,0
0.600662,0.0642,65
0.651077,0.06186,76
0.700644,0.05973,91
0.749652,0.0611,106
0.799539,0.06089,113
0.850336,0.05987,128
0.900321,0.06089,141
0.950667,0.06054,158
1.000389,0.0613,170
1.099,0.06078,192
1.201,0.06125,214
1.299,0.06192,240
1.399,0.06234,261
1.502,0.06278,280
1.6,0.06342,312
1.699,0.06535,332
1.799,0.06389,354
1.898,0.06457,378
1.999,0.06528,398
